# name	width	height	palette	feature
frieza_adult_gremlin_eat_b_g0	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_b_g1	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_b_g3	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_b_g4	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_idle_a	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_a_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_a_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_a_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_a_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_b	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_b_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_b_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_b_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_idle_b_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_a	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_a_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_a_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_a_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_a_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_b	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_b_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_b_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_b_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_sleep_b_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_a	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_a_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_a_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_a_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_a_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_b	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_b_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_b_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_b_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_walk_b_g4	16	16	.BKORSW	frieza
frieza_adult_ok_climb_a	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_a_g0	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_a_g1	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_a_g3	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_a_g4	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_b	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_b_g0	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_b_g1	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_b_g3	16	16	.BDKPSW	frieza
frieza_adult_ok_climb_b_g4	16	16	.BDKPSW	frieza
frieza_adult_ok_eat_a	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_a_g0	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_a_g1	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_a_g3	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_a_g4	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_b	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_b_g0	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_b_g1	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_b_g3	16	16	.BDKMPSWX	frieza
frieza_adult_ok_eat_b_g4	16	16	.BDKMPSWX	frieza
frieza_adult_ok_idle_a	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_a_g0	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_a_g1	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_a_g3	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_a_g4	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_b	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_b_g0	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_b_g1	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_b_g3	16	16	.BDKPSW	frieza
frieza_adult_ok_idle_b_g4	16	16	.BDKPSW	frieza
frieza_adult_ok_sleep_a	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_a_g0	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_a_g1	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_a_g3	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_a_g4	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_b	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_b_g0	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_b_g1	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_b_g3	16	16	.BDKMOPW	frieza
frieza_adult_ok_sleep_b_g4	16	16	.BDKMOPW	frieza
frieza_adult_ok_walk_a	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_a_g0	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_a_g1	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_a_g3	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_a_g4	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_b	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_b_g0	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_b_g1	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_b_g3	16	16	.BDKPSW	frieza
frieza_adult_ok_walk_b_g4	16	16	.BDKPSW	frieza
frieza_baby_eat_a	16	16	.KMOSWX	frieza
frieza_baby_eat_a_g0	16	16	.KMOSWX	frieza
frieza_baby_eat_a_g1	16	16	.KMOSWX	frieza
frieza_baby_eat_a_g3	16	16	.KMOSWX	frieza
frieza_baby_eat_a_g4	16	16	.KMOSWX	frieza
frieza_baby_eat_b	16	16	.KMOSWX	frieza
frieza_baby_eat_b_g0	16	16	.KMOSWX	frieza
frieza_baby_eat_b_g1	16	16	.KMOSWX	frieza
frieza_baby_eat_b_g3	16	16	.KMOSWX	frieza
frieza_baby_eat_b_g4	16	16	.KMOSWX	frieza
frieza_baby_idle_a	16	16	.BKNOSW	frieza
frieza_baby_idle_a_g0	16	16	.BKNOSW	frieza
frieza_baby_idle_a_g1	16	16	.BKNOSW	frieza
frieza_baby_idle_a_g3	16	16	.BKNOSW	frieza
frieza_baby_idle_a_g4	16	16	.BKNOSW	frieza
frieza_baby_idle_b	16	16	.BKNOSW	frieza
frieza_baby_idle_b_g0	16	16	.BKNOSW	frieza
frieza_baby_idle_b_g1	16	16	.BKNOSW	frieza
frieza_baby_idle_b_g3	16	16	.BKNOSW	frieza
frieza_baby_idle_b_g4	16	16	.BKNOSW	frieza
frieza_baby_sleep_a	16	16	.BKMNOW	frieza
frieza_baby_sleep_a_g0	16	16	.BKMNOW	frieza
frieza_baby_sleep_a_g1	16	16	.BKMNOW	frieza
frieza_baby_sleep_a_g3	16	16	.BKMNOW	frieza
frieza_baby_sleep_a_g4	16	16	.BKMNOW	frieza
frieza_baby_sleep_b	16	16	.BKMNOW	frieza
frieza_baby_sleep_b_g0	16	16	.BKMNOW	frieza
frieza_baby_sleep_b_g1	16	16	.BKMNOW	frieza
frieza_baby_sleep_b_g3	16	16	.BKMNOW	frieza
frieza_baby_sleep_b_g4	16	16	.BKMNOW	frieza
frieza_blue_idle_a	16	16	.BCOSW	frieza
frieza_blue_idle_a_g0	16	16	.BCOSW	frieza
frieza_blue_idle_a_g1	16	16	.BCOSW	frieza
frieza_blue_idle_a_g3	16	16	.BCOSW	frieza
frieza_blue_idle_a_g4	16	16	.BCOSW	frieza
frieza_blue_idle_b	16	16	.BCOSW	frieza
frieza_blue_idle_b_g0	16	16	.BCOSW	frieza
frieza_blue_idle_b_g1	16	16	.BCOSW	frieza
frieza_blue_idle_b_g3	16	16	.BCOSW	frieza
frieza_blue_idle_b_g4	16	16	.BCOSW	frieza
frieza_blue_walk_a	16	16	.BCOSW	frieza
frieza_blue_walk_a_g0	16	16	.BCOSW	frieza
frieza_blue_walk_a_g1	16	16	.BCOSW	frieza
frieza_blue_walk_a_g3	16	16	.BCOSW	frieza
frieza_blue_walk_a_g4	16	16	.BCOSW	frieza
frieza_blue_walk_b	16	16	.BCOSW	frieza
frieza_blue_walk_b_g0	16	16	.BCOSW	frieza
frieza_blue_walk_b_g1	16	16	.BCOSW	frieza
frieza_blue_walk_b_g3	16	16	.BCOSW	frieza
frieza_blue_walk_b_g4	16	16	.BCOSW	frieza
frieza_child_climb_a	16	16	.BKNOSW	frieza
frieza_child_climb_a_g0	16	16	.BKNOSW	frieza
frieza_child_climb_a_g1	16	16	.BKNOSW	frieza
frieza_child_climb_a_g3	16	16	.BKNOSW	frieza
frieza_child_climb_a_g4	16	16	.BKNOSW	frieza
frieza_child_climb_b	16	16	.BKNOSW	frieza
frieza_child_climb_b_g0	16	16	.BKNOSW	frieza
frieza_child_climb_b_g1	16	16	.BKNOSW	frieza
frieza_child_climb_b_g3	16	16	.BKNOSW	frieza
frieza_child_climb_b_g4	16	16	.BKNOSW	frieza
frieza_child_eat_a	16	16	.BKMOSWX	frieza
frieza_child_eat_a_g0	16	16	.BKMOSWX	frieza
frieza_child_eat_a_g1	16	16	.BKMOSWX	frieza
frieza_child_eat_a_g3	16	16	.BKMOSWX	frieza
frieza_child_eat_a_g4	16	16	.BKMOSWX	frieza
frieza_child_eat_b	16	16	.BKMOSWX	frieza
frieza_child_eat_b_g0	16	16	.BKMOSWX	frieza
frieza_child_eat_b_g1	16	16	.BKMOSWX	frieza
frieza_child_eat_b_g3	16	16	.BKMOSWX	frieza
frieza_child_eat_b_g4	16	16	.BKMOSWX	frieza
frieza_child_idle_a	16	16	.BKNOSW	frieza
frieza_child_idle_a_g0	16	16	.BKNOSW	frieza
frieza_child_idle_a_g1	16	16	.BKNOSW	frieza
frieza_child_idle_a_g3	16	16	.BKNOSW	frieza
frieza_child_idle_a_g4	16	16	.BKNOSW	frieza
frieza_child_idle_b	16	16	.BKNOSW	frieza
frieza_child_idle_b_g0	16	16	.BKNOSW	frieza
frieza_child_idle_b_g1	16	16	.BKNOSW	frieza
frieza_child_idle_b_g3	16	16	.BKNOSW	frieza
frieza_child_idle_b_g4	16	16	.BKNOSW	frieza
frieza_child_sleep_a	16	16	.BKMNOW	frieza
frieza_child_sleep_a_g0	16	16	.BKMNOW	frieza
frieza_child_sleep_a_g1	16	16	.BKMNOW	frieza
frieza_child_sleep_a_g3	16	16	.BKMNOW	frieza
frieza_child_sleep_a_g4	16	16	.BKMNOW	frieza
frieza_child_sleep_b	16	16	.BKMNOW	frieza
frieza_child_sleep_b_g0	16	16	.BKMNOW	frieza
frieza_child_sleep_b_g1	16	16	.BKMNOW	frieza
frieza_child_sleep_b_g3	16	16	.BKMNOW	frieza
frieza_child_sleep_b_g4	16	16	.BKMNOW	frieza
frieza_child_walk_a	16	16	.BKNOSW	frieza
frieza_child_walk_a_g0	16	16	.BKNOSW	frieza
frieza_child_walk_a_g1	16	16	.BKNOSW	frieza
frieza_child_walk_a_g3	16	16	.BKNOSW	frieza
frieza_child_walk_a_g4	16	16	.BKNOSW	frieza
frieza_child_walk_b	16	16	.BKNOSW	frieza
frieza_child_walk_b_g0	16	16	.BKNOSW	frieza
frieza_child_walk_b_g1	16	16	.BKNOSW	frieza
frieza_child_walk_b_g3	16	16	.BKNOSW	frieza
frieza_child_walk_b_g4	16	16	.BKNOSW	frieza
frieza_pod_idle_a	16	16	.DLMPRS	frieza
frieza_pod_idle_a_g0	16	16	.DLMPRS	frieza
frieza_pod_idle_a_g1	16	16	.DLMPRS	frieza
frieza_pod_idle_a_g3	16	16	.DLMPRS	frieza
frieza_pod_idle_a_g4	16	16	.DLMPRS	frieza
frieza_pod_idle_b	16	16	.DLMPRS	frieza
frieza_pod_idle_b_g0	16	16	.DLMPRS	frieza
frieza_pod_idle_b_g1	16	16	.DLMPRS	frieza
frieza_pod_idle_b_g3	16	16	.DLMPRS	frieza
frieza_pod_idle_b_g4	16	16	.DLMPRS	frieza
frieza_ssj_idle_a	16	16	.BOSWY	frieza
frieza_ssj_idle_a_g0	16	16	.BOSWY	frieza
frieza_ssj_idle_a_g1	16	16	.BOSWY	frieza
frieza_ssj_idle_a_g3	16	16	.BOSWY	frieza
frieza_ssj_idle_a_g4	16	16	.BOSWY	frieza
frieza_ssj_idle_b	16	16	.BOSWY	frieza
frieza_ssj_idle_b_g0	16	16	.BOSWY	frieza
frieza_ssj_idle_b_g1	16	16	.BOSWY	frieza
frieza_ssj_idle_b_g3	16	16	.BOSWY	frieza
frieza_ssj_idle_b_g4	16	16	.BOSWY	frieza
frieza_ssj_walk_a	16	16	.BOSWY	frieza
frieza_ssj_walk_a_g0	16	16	.BOSWY	frieza
frieza_ssj_walk_a_g1	16	16	.BOSWY	frieza
frieza_ssj_walk_a_g3	16	16	.BOSWY	frieza
frieza_ssj_walk_a_g4	16	16	.BOSWY	frieza
frieza_ssj_walk_b	16	16	.BOSWY	frieza
frieza_ssj_walk_b_g0	16	16	.BOSWY	frieza
frieza_ssj_walk_b_g1	16	16	.BOSWY	frieza
frieza_ssj_walk_b_g3	16	16	.BOSWY	frieza
frieza_ssj_walk_b_g4	16	16	.BOSWY	frieza
frieza_teen_neat_climb_a	16	16	.BKOSW	frieza
frieza_teen_neat_climb_a_g0	16	16	.BKOSW	frieza
frieza_teen_neat_climb_a_g1	16	16	.BKOSW	frieza
frieza_teen_neat_climb_a_g3	16	16	.BKOSW	frieza
frieza_teen_neat_climb_a_g4	16	16	.BKOSW	frieza
frieza_teen_neat_climb_b	16	16	.BKOSW	frieza
frieza_teen_neat_climb_b_g0	16	16	.BKOSW	frieza
frieza_teen_neat_climb_b_g1	16	16	.BKOSW	frieza
frieza_teen_neat_climb_b_g3	16	16	.BKOSW	frieza
frieza_teen_neat_climb_b_g4	16	16	.BKOSW	frieza
frieza_teen_neat_eat_a	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_a_g0	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_a_g1	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_a_g3	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_a_g4	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_b	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_b_g0	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_b_g1	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_b_g3	16	16	.BKMOSWX	frieza
frieza_teen_neat_eat_b_g4	16	16	.BKMOSWX	frieza
frieza_teen_neat_idle_a	16	16	.BKOSW	frieza
frieza_teen_neat_idle_a_g0	16	16	.BKOSW	frieza
frieza_teen_neat_idle_a_g1	16	16	.BKOSW	frieza
frieza_teen_neat_idle_a_g3	16	16	.BKOSW	frieza
frieza_teen_neat_idle_a_g4	16	16	.BKOSW	frieza
frieza_teen_neat_idle_b	16	16	.BKOSW	frieza
frieza_teen_neat_idle_b_g0	16	16	.BKOSW	frieza
frieza_teen_neat_idle_b_g1	16	16	.BKOSW	frieza
frieza_teen_neat_idle_b_g3	16	16	.BKOSW	frieza
frieza_teen_neat_idle_b_g4	16	16	.BKOSW	frieza
frieza_teen_neat_sleep_a	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_a_g0	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_a_g1	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_a_g3	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_a_g4	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_b	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_b_g0	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_b_g1	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_b_g3	16	16	.BKMOW	frieza
frieza_teen_neat_sleep_b_g4	16	16	.BKMOW	frieza
frieza_teen_neat_walk_a	16	16	.BKOSW	frieza
frieza_teen_neat_walk_a_g0	16	16	.BKOSW	frieza
frieza_teen_neat_walk_a_g1	16	16	.BKOSW	frieza
frieza_teen_neat_walk_a_g3	16	16	.BKOSW	frieza
frieza_teen_neat_walk_a_g4	16	16	.BKOSW	frieza
frieza_teen_neat_walk_b	16	16	.BKOSW	frieza
frieza_teen_neat_walk_b_g0	16	16	.BKOSW	frieza
frieza_teen_neat_walk_b_g1	16	16	.BKOSW	frieza
frieza_teen_neat_walk_b_g3	16	16	.BKOSW	frieza
frieza_teen_neat_walk_b_g4	16	16	.BKOSW	frieza
frieza_teen_scruffy_climb_a	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_a_g0	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_a_g1	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_a_g3	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_a_g4	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_b	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_b_g0	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_b_g1	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_b_g3	16	16	.BKNOSW	frieza
frieza_teen_scruffy_climb_b_g4	16	16	.BKNOSW	frieza
frieza_teen_scruffy_eat_a	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_a_g0	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_a_g1	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_a_g3	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_a_g4	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_b	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_b_g0	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_b_g1	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_b_g3	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_eat_b_g4	16	16	.BKMNOSWX	frieza
frieza_teen_scruffy_idle_a	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_a_g0	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_a_g1	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_a_g3	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_a_g4	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_b	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_b_g0	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_b_g1	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_b_g3	16	16	.BKNOSW	frieza
frieza_teen_scruffy_idle_b_g4	16	16	.BKNOSW	frieza
frieza_teen_scruffy_sleep_a	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_a_g0	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_a_g1	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_a_g3	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_a_g4	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_b	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_b_g0	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_b_g1	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_b_g3	16	16	.BKMNOW	frieza
frieza_teen_scruffy_sleep_b_g4	16	16	.BKMNOW	frieza
frieza_teen_scruffy_walk_a	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_a_g0	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_a_g1	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_a_g3	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_a_g4	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_b	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_b_g0	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_b_g1	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_b_g3	16	16	.BKNOSW	frieza
frieza_teen_scruffy_walk_b_g4	16	16	.BKNOSW	frieza
frieza_ui_idle_a	16	16	.BGOSW	frieza
frieza_ui_idle_a_g0	16	16	.BGOSW	frieza
frieza_ui_idle_a_g1	16	16	.BGOSW	frieza
frieza_ui_idle_a_g3	16	16	.BGOSW	frieza
frieza_ui_idle_a_g4	16	16	.BGOSW	frieza
frieza_ui_idle_b	16	16	.BGOSW	frieza
frieza_ui_idle_b_g0	16	16	.BGOSW	frieza
frieza_ui_idle_b_g1	16	16	.BGOSW	frieza
frieza_ui_idle_b_g3	16	16	.BGOSW	frieza
frieza_ui_idle_b_g4	16	16	.BGOSW	frieza
frieza_ui_walk_a	16	16	.BGOSW	frieza
frieza_ui_walk_a_g0	16	16	.BGOSW	frieza
frieza_ui_walk_a_g1	16	16	.BGOSW	frieza
frieza_ui_walk_a_g3	16	16	.BGOSW	frieza
frieza_ui_walk_a_g4	16	16	.BGOSW	frieza
frieza_ui_walk_b	16	16	.BGOSW	frieza
frieza_ui_walk_b_g0	16	16	.BGOSW	frieza
frieza_ui_walk_b_g1	16	16	.BGOSW	frieza
